word,start,end,duration,sentence_idx,word_idx,layer,richness,richness_normalized,pre_gap,word_length
struggle?,11.723,12.083,0.3599999999999994,2,6,36,5.850271224975586,0.337544284435176,0.02000000000000135,9
And,12.103,12.163,0.0600000000000005,3,0,36,3.513855314108155,0.20266219095915955,0.0,3
she,12.203,12.303,0.1000000000000014,3,1,36,5.4300432205200195,0.3132843773207908,0.03999999999999915,3
"said,",12.363,12.604,0.2409999999999996,3,2,36,2.225245714187622,0.12827031590723711,0.05999999999999872,5
"well,",13.605,13.825,0.2199999999999988,3,3,36,3.020148992538452,0.1741603553459354,1.0010000000000012,5
I,13.885,13.945,0.0600000000000005,3,4,36,1.6942222118377686,0.0976141466230096,0.0600000000000005,1
saw,14.005,14.225,0.2199999999999988,3,5,36,6.173274517059326,0.3561913754917187,0.0600000000000005,3
you,14.265,14.406,0.141,3,6,36,2.5170273780822754,0.1451149716386795,0.040000000000000924,3
speak,14.466,14.786,0.3200000000000003,3,7,36,6.563507556915283,0.37871966299158405,0.05999999999999872,5
and,14.846,14.926,0.08,3,8,36,3.9885106086730957,0.2300642042362499,0.0600000000000005,3
I'm,15.226,15.807,0.5809999999999995,3,9,36,2.0871505737304688,0.12029803599034083,0.3000000000000007,3
going,15.847,15.947,0.0999999999999996,3,10,36,2.3242383003234863,0.13398519192503183,0.03999999999999915,5
to,15.967,16.027,0.0600000000000005,3,11,36,0.052488863468170166,0.002836316217262877,0.02000000000000135,2
call,16.067,16.267,0.1999999999999993,3,12,36,4.252438545227051,0.24530085471599516,0.03999999999999915,4
you,16.307,16.408,0.1010000000000026,3,13,36,1.0179023742675781,0.05856996997341705,0.03999999999999915,3
a,16.448,16.488,0.0399999999999991,3,14,36,2.1895711421966553,0.12621081060613856,0.03999999999999915,1
"researcher,",16.548,17.148,0.6000000000000014,3,15,36,6.73012113571167,0.38833832215456,0.05999999999999872,11
I,17.208,17.268,0.0600000000000022,3,16,36,3.061415672302246,0.17654269495056443,0.05999999999999872,1
think.,17.328,17.589,0.2609999999999992,3,17,36,2.3875017166137695,0.1376374106888178,0.05999999999999872,6
But,17.629,17.729,0.0999999999999978,4,0,36,3.513855314108155,0.20266219095915955,0.0,3
I'm,17.749,17.869,0.120000000000001,4,1,36,2.5212326049804688,0.1453577408326966,0.019999999999999574,3
afraid,17.909,18.129,0.2200000000000024,4,2,36,4.5243940353393555,0.26100093862144375,0.03999999999999915,6
if,18.189,18.249,0.0599999999999987,4,3,36,5.010912895202637,0.28908783960028556,0.05999999999999872,2
I,18.289,18.37,0.0809999999999995,4,4,36,1.2683542966842651,0.0730286455257992,0.0400000000000027,1
call,18.41,18.59,0.1799999999999997,4,5,36,6.544692516326904,0.377633464232368,0.03999999999999915,4
your,18.61,18.73,0.120000000000001,4,6,36,5.090224742889404,0.293666539823856,0.019999999999999574,4
"researcher,",18.75,19.17,0.4200000000000017,4,7,36,6.890776634216309,0.39761301929471665,0.019999999999999574,11
no,19.21,19.29,0.0799999999999983,4,8,36,6.238940238952637,0.35998228018355294,0.03999999999999915,2
one,19.371,19.451,0.0800000000000018,4,9,36,0.6744477152824402,0.0387422144772616,0.08099999999999952,3
will,19.471,19.631,0.1600000000000001,4,10,36,0.5176473259925842,0.02969007411693594,0.019999999999999574,4
come,19.671,19.931,0.2600000000000015,4,11,36,3.5960803031921387,0.20740906783673257,0.03999999999999915,4
because,19.951,20.151,0.1999999999999993,4,12,36,4.882382392883301,0.28166772953010566,0.019999999999999574,7
they'll,20.191,20.372,0.1810000000000009,4,13,36,2.7260634899139404,0.15718269821287226,0.03999999999999915,7
think,20.392,20.552,0.1600000000000001,4,14,36,1.4577734470367432,0.08396387817215838,0.019999999999999574,5
you're,20.572,20.732,0.1600000000000001,4,15,36,0.9804141521453857,0.0564057620269569,0.019999999999999574,6
boring,20.752,21.072,0.3200000000000003,4,16,36,8.55384635925293,0.4936226060579915,0.019999999999999574,6
and,21.112,21.172,0.0600000000000022,4,17,36,2.0008544921875,0.11531613354602337,0.03999999999999915,3
irrelevant.,21.212,21.713,0.5010000000000012,4,18,36,3.4388327598571777,0.19833111311971233,0.03999999999999915,11
And,25.516,25.576,0.0600000000000022,5,0,36,3.513855314108155,0.20266219095915955,0.0,3
she,25.616,25.736,0.120000000000001,5,1,36,5.4300432205200195,0.3132843773207908,0.03999999999999915,3
"said,",25.776,25.996,0.2199999999999988,5,2,36,2.225245714187622,0.12827031590723711,0.03999999999999915,5
but,26.617,26.737,0.1199999999999974,5,3,36,7.200920581817627,0.4155177359749976,0.6210000000000022,3
the,26.837,26.937,0.1000000000000014,5,4,36,3.3213210105895996,0.19154711944995725,0.10000000000000142,3
thing,26.957,27.117,0.1600000000000001,5,5,36,4.963422775268555,0.2863462186558545,0.019999999999999574,5
I,27.157,27.217,0.0599999999999987,5,6,36,2.763486385345459,0.1593431348270294,0.03999999999999915,1
liked,27.257,27.437,0.1799999999999997,5,7,36,5.2228193283081055,0.3013212708080406,0.0400000000000027,5
about,27.477,27.617,0.1400000000000005,5,8,36,1.188118577003479,0.06839660985451271,0.03999999999999915,5
your,27.637,27.757,0.120000000000001,5,9,36,3.7855465412139893,0.21834701887042696,0.019999999999999574,4
talk,27.797,28.058,0.2609999999999992,5,10,36,6.105438232421875,0.3522751634667213,0.03999999999999915,4
is,28.118,28.218,0.1000000000000014,5,11,36,2.021362543106079,0.11650007037342826,0.05999999999999872,2
you're,28.518,28.678,0.1600000000000001,5,12,36,2.733163356781006,0.15759257596707538,0.3000000000000007,6
a,28.698,28.738,0.0399999999999991,5,13,36,3.2440192699432373,0.18708446339663054,0.019999999999999574,1
storyteller.,28.798,29.418,0.620000000000001,5,14,36,1.9169431924819946,0.11047190537674594,0.05999999999999872,12
So,29.478,29.719,0.2409999999999996,6,0,36,3.513855314108155,0.20266219095915955,0.0,2
I,29.839,29.899,0.0600000000000022,6,1,36,2.4345972537994385,0.14035625223557913,0.11999999999999744,1
think,29.939,30.119,0.1799999999999997,6,2,36,3.126206159591675,0.18028307204793015,0.03999999999999915,5
what,30.199,30.319,0.1199999999999974,6,3,36,4.08549165725708,0.23566295349988187,0.08000000000000185,4
I'll,30.339,30.479,0.1400000000000005,6,4,36,3.250452995300293,0.18745588457253207,0.019999999999999574,4
do,30.499,30.619,0.120000000000001,6,5,36,0.848673939704895,0.04880035428842144,0.019999999999999574,2
is,30.679,30.739,0.0600000000000022,6,6,36,0.3940471410751343,0.022554592964738655,0.05999999999999872,2
just,30.759,30.899,0.1400000000000005,6,7,36,2.5543088912963867,0.14726724620883774,0.019999999999999574,4
call,30.939,31.119,0.1799999999999997,6,8,36,5.978034019470215,0.3449200744688022,0.03999999999999915,4
you,31.139,31.26,0.1210000000000022,6,9,36,4.488626480102539,0.2589360653656073,0.019999999999999574,3
a,31.3,31.34,0.0399999999999991,6,10,36,2.392319917678833,0.13791556709214534,0.03999999999999915,1
storyteller.,31.4,32.06,0.6600000000000037,6,11,36,2.744715452194214,0.15825948240531723,0.05999999999999872,12
And,33.081,33.161,0.0799999999999983,7,0,36,3.513855314108155,0.20266219095915955,0.0,3
of,33.181,33.241,0.0600000000000022,7,1,36,5.3814005851745605,0.3104762212655831,0.01999999999999602,2
"course,",33.281,33.501,0.2199999999999988,7,2,36,0.3552165627479553,0.02031289033324536,0.03999999999999915,7
the,33.541,33.641,0.1000000000000014,7,3,36,2.027653217315674,0.11686323315742536,0.03999999999999915,3
academic,33.841,34.502,0.6610000000000014,7,4,36,9.638784408569336,0.5562564524989927,0.20000000000000284,8
insecure,34.882,35.382,0.5,7,5,36,13.990789413452148,0.8074991970575842,0.37999999999999545,8
part,35.422,35.622,0.2000000000000028,7,6,36,7.210600852966309,0.41607658135517,0.03999999999999915,4
of,35.642,35.702,0.0599999999999951,7,7,36,0.3072309195995331,0.01754266266335705,0.020000000000003126,2
me,35.742,35.882,0.1400000000000005,7,8,36,0.6640698313713074,0.03814309567256858,0.03999999999999915,2
was,35.922,36.043,0.1210000000000022,7,9,36,2.6689062118530273,0.15388298890752666,0.03999999999999915,3
"like,",36.083,36.323,0.240000000000002,7,10,36,2.3752596378326416,0.1369306712736236,0.03999999999999915,5
you're,36.923,37.043,0.1199999999999974,7,11,36,3.4139394760131836,0.1968940152884773,0.6000000000000014,6
going,37.063,37.163,0.0999999999999943,7,12,36,3.0283355712890625,0.17463296935063916,0.020000000000003126,5
to,37.183,37.223,0.0399999999999991,7,13,36,0.06601113826036453,0.003616961788132999,0.020000000000003126,2
call,37.263,37.403,0.1400000000000005,7,14,36,5.694884300231934,0.3285737438688593,0.03999999999999915,4
me,37.443,37.523,0.0800000000000054,7,15,36,0.818207323551178,0.047041506067593365,0.03999999999999915,2
a,37.564,37.584,0.0200000000000031,7,16,36,1.1867526769638062,0.06831775597581195,0.04099999999999682,1
what?,37.624,37.884,0.259999999999998,7,17,36,5.385132789611816,0.31069168271036957,0.03999999999999915,5
And,38.404,38.484,0.0799999999999983,8,0,36,3.513855314108155,0.20266219095915955,0.0,3
she,38.524,38.624,0.1000000000000014,8,1,36,5.4300432205200195,0.3132843773207908,0.03999999999999915,3
"said,",38.664,38.864,0.1999999999999957,8,2,36,2.225245714187622,0.12827031590723711,0.03999999999999915,5
I'm,38.924,38.984,0.0600000000000022,8,3,36,2.9640469551086426,0.17092156544487147,0.060000000000002274,3
going,39.004,39.104,0.1000000000000014,8,4,36,1.8472232818603516,0.10644695097634699,0.01999999999999602,5
to,39.125,39.185,0.0600000000000022,8,5,36,0.10513008385896683,0.005875311961306967,0.021000000000000796,2
call,39.225,39.405,0.1799999999999997,8,6,36,4.514847278594971,0.2604498010737154,0.03999999999999915,4
you,39.425,39.545,0.1200000000000045,8,7,36,1.9212062358856201,0.11071801233749105,0.01999999999999602,3
a,39.585,39.605,0.019999999999996,8,8,36,2.7916181087493896,0.1609671888869941,0.03999999999999915,1
storyteller.,39.665,40.365,0.7000000000000028,8,9,36,3.0147032737731934,0.17384597213012046,0.060000000000002274,12
And,40.465,40.545,0.0799999999999983,9,0,36,3.513855314108155,0.20266219095915955,0.0,3
I,40.605,40.625,0.0200000000000031,9,1,36,2.585564613342285,0.1490716497840086,0.05999999999999517,1
was,40.645,40.746,0.100999999999999,9,2,36,3.2928318977355957,0.18990243317421798,0.020000000000003126,3
"like,",40.786,41.006,0.2199999999999988,9,3,36,1.2698111534118652,0.07311275036535252,0.03999999999999915,5
why,42.427,42.567,0.1400000000000005,9,4,36,5.531648635864258,0.31915009286671986,1.4209999999999994,3
not,42.587,42.747,0.1599999999999966,9,5,36,2.773521661758423,0.1599224747831113,0.020000000000003126,3
magic,42.807,43.147,0.3399999999999963,9,6,36,11.357145309448242,0.6554580178452198,0.060000000000002274,5
pixie?,43.207,43.607,0.3999999999999986,9,7,36,4.764923095703125,0.2748867639373822,0.060000000000002274,6
I,45.684,45.744,0.0600000000000022,10,0,36,3.513855314108155,0.20266219095915955,0.0,1
was,45.784,45.964,0.1799999999999997,10,1,36,3.22450852394104,0.185958101324786,0.03999999999999915,3
"like,",46.824,47.365,0.5410000000000039,10,2,36,2.3888626098632812,0.13771597552380188,0.8599999999999994,5
let,48.045,48.145,0.1000000000000014,10,3,36,6.220719337463379,0.35893038127871335,0.6799999999999997,3
me,48.185,48.245,0.0599999999999951,10,4,36,1.3525426387786865,0.0778888674473982,0.03999999999999915,2
think,48.285,48.425,0.1400000000000005,10,5,36,3.7659225463867188,0.21721411890499143,0.03999999999999915,5
about,48.465,48.625,0.1599999999999966,10,6,36,0.7313669323921204,0.04202818044207957,0.04000000000000625,5
this,48.645,48.765,0.1199999999999974,10,7,36,1.0733683109283447,0.06177203755847931,0.020000000000003126,4
for,48.785,48.885,0.1000000000000014,10,8,36,2.587390661239624,0.1491770681566686,0.01999999999999602,3
a,48.925,48.945,0.0200000000000031,10,9,36,0.08117803931236267,0.0044925521981801515,0.03999999999999915,1
second.,49.005,49.325,0.3200000000000003,10,10,36,0.7996363639831543,0.045969398189564276,0.060000000000002274,7
And,49.385,49.465,0.0800000000000054,11,0,36,3.513855314108155,0.20266219095915955,0.0,3
so,49.505,49.745,0.2399999999999948,11,1,36,4.205244064331055,0.24257630111483325,0.03999999999999915,2
I,50.405,50.485,0.0799999999999983,11,2,36,2.4366912841796875,0.1404771413290734,0.6600000000000037,1
tried,50.525,50.705,0.1799999999999997,11,3,36,5.7164716720581055,0.3298199902631831,0.03999999999999915,5
to,50.725,50.786,0.0609999999999999,11,4,36,0.5140377879142761,0.029481694243207533,0.020000000000003126,2
call,50.826,51.006,0.1799999999999997,11,5,36,6.399618148803711,0.36925827113844134,0.03999999999999915,4
deep,51.046,51.226,0.1799999999999997,11,6,36,11.748995780944824,0.6780796802295512,0.03999999999999915,4
on,51.246,51.326,0.0799999999999983,11,7,36,6.270200252532959,0.36178693151048097,0.020000000000003126,2
my,51.346,51.446,0.1000000000000014,11,8,36,2.0347156524658203,0.11727094996574683,0.01999999999999602,2
courage.,51.486,51.906,0.4200000000000017,11,9,36,3.6823041439056396,0.2123867997931383,0.03999999999999915,8
And,52.926,53.026,0.1000000000000014,12,0,36,3.513855314108155,0.20266219095915955,0.0,3
I,53.046,53.126,0.0799999999999983,12,1,36,2.585564613342285,0.1490716497840086,0.01999999999999602,1
"thought,",53.166,53.546,0.3800000000000025,12,2,36,2.4950363636016846,0.14384542281519874,0.03999999999999915,8
I,54.547,54.587,0.0400000000000062,12,3,36,2.698701858520508,0.15560310182932635,1.0009999999999977,1
am,54.647,54.707,0.0600000000000022,12,4,36,4.374354839324951,0.25233912427248745,0.05999999999999517,2
a,54.747,54.767,0.0200000000000031,12,5,36,2.724764347076416,0.15710769825039356,0.03999999999999915,1
storyteller.,54.807,55.367,0.5599999999999952,12,6,36,2.049241542816162,0.11810953460769516,0.03999999999999915,12
I'm,56.107,56.227,0.1199999999999974,13,0,36,3.513855314108155,0.20266219095915955,0.0,3
a,56.247,56.287,0.0399999999999991,13,1,36,2.8074753284454346,0.16188263162959962,0.020000000000003126,1
qualitative,56.327,56.827,0.5,13,2,36,13.163267135620117,0.7597260515688659,0.03999999999999915,11
researcher.,56.847,57.267,0.4200000000000017,13,3,36,2.300366163253784,0.13260704524800787,0.020000000000003126,11
I,57.287,57.347,0.0600000000000022,14,0,36,3.513855314108155,0.20266219095915955,0.0,1
collect,57.387,57.628,0.2409999999999996,14,1,36,10.701318740844727,0.6175969246558688,0.03999999999999915,7
stories.,57.688,58.048,0.3599999999999994,14,2,36,4.341665267944336,0.25045194408246124,0.060000000000002274,8
That's,58.088,58.248,0.1599999999999966,15,0,36,3.513855314108155,0.20266219095915955,0.0,6
what,58.268,58.388,0.1199999999999974,15,1,36,2.6825454235076904,0.1546703852836541,0.020000000000003126,4
I,58.428,58.488,0.0600000000000022,15,2,36,1.5661908388137817,0.09022285145858287,0.03999999999999915,1
do.,58.528,58.748,0.2199999999999988,15,3,36,2.2795662879943848,0.13140626130111796,0.03999999999999915,3
And,59.748,59.828,0.0800000000000054,16,0,36,3.513855314108155,0.20266219095915955,0.0,3
maybe,59.868,60.168,0.2999999999999971,16,1,36,5.7253522872924805,0.3303326712326098,0.03999999999999915,5
stories,60.228,60.688,0.4600000000000008,16,2,36,11.586801528930664,0.668716150320476,0.060000000000002274,7
are,60.768,60.848,0.0799999999999983,16,3,36,2.5321121215820312,0.14598581906500113,0.0799999999999983,3
just,60.888,61.048,0.1600000000000037,16,4,36,2.051947593688965,0.11826575585455387,0.03999999999999915,4
data,61.089,61.369,0.2800000000000011,16,5,36,8.143523216247559,0.4699345099990687,0.04099999999999682,4
with,61.409,61.509,0.1000000000000014,16,6,36,5.501367568969727,0.31740195646839114,0.03999999999999915,4
a,61.569,61.589,0.019999999999996,16,7,36,1.385690689086914,0.07980251578347809,0.060000000000002274,1
soul.,61.649,61.949,0.2999999999999971,16,8,36,3.7822489738464355,0.21815664917304345,0.060000000000002274,5
And,62.209,62.489,0.279999999999994,17,0,36,3.513855314108155,0.20266219095915955,0.0,3
maybe,62.729,62.989,0.259999999999998,17,1,36,5.7253522872924805,0.3303326712326098,0.240000000000002,5
I'm,63.129,63.289,0.1600000000000037,17,2,36,1.9608536958694458,0.11300687382775525,0.14000000000000057,3
just,63.329,63.629,0.2999999999999971,17,3,36,1.5401136875152588,0.08871740855234546,0.03999999999999915,4
a,64.269,64.309,0.039999999999992,17,4,36,1.8122440576553345,0.1044275883418972,0.6400000000000077,1
storyteller.,64.329,64.91,0.5810000000000031,17,5,36,2.7974812984466553,0.16130567284318348,0.01999999999999602,12
So,65.15,65.29,0.1400000000000005,18,0,36,3.513855314108155,0.20266219095915955,0.0,2
I,65.33,65.37,0.0400000000000062,18,1,36,2.4345972537994385,0.14035625223557913,0.03999999999999204,1
"said,",65.41,65.55,0.1400000000000005,18,2,36,2.6093358993530273,0.15044397429473993,0.03999999999999204,5
you,65.57,65.63,0.0600000000000022,18,3,36,4.297738552093506,0.24791603968036946,0.01999999999999602,3
know,65.67,65.77,0.0999999999999943,18,4,36,0.4435538649559021,0.025412633148045708,0.04000000000000625,4
what?,65.81,66.01,0.2000000000000028,18,5,36,1.1826024055480957,0.06807815938068483,0.04000000000000625,5
Why,66.73,66.87,0.1400000000000005,19,0,36,3.513855314108155,0.20266219095915955,0.0,3
don't,66.89,67.01,0.1200000000000045,19,1,36,1.6918151378631592,0.09747518541523115,0.01999999999999602,5
you,67.03,67.13,0.0999999999999943,19,2,36,0.677430272102356,0.03891439850747224,0.01999999999999602,3
just,67.15,67.23,0.0799999999999983,19,3,36,2.02323317527771,0.11660806261156513,0.020000000000010232,4
say,67.27,67.37,0.1000000000000085,19,4,36,3.641857624053955,0.21005180830209463,0.03999999999999204,3
I'm,67.41,67.53,0.1200000000000045,19,5,36,2.37191104888916,0.1367373560831275,0.03999999999999204,3
a,67.55,67.59,0.0400000000000062,19,6,36,1.7917499542236328,0.103244456707703,0.01999999999999602,1
researcher,67.63,68.051,0.4210000000000065,19,7,36,9.676491737365723,0.5584333095490531,0.03999999999999204,10
storyteller?,68.071,68.691,0.6200000000000045,19,8,36,4.480793476104736,0.258483863352894,0.01999999999999602,12
And,69.451,69.531,0.0800000000000125,20,0,36,3.513855314108155,0.20266219095915955,0.0,3
she,69.571,69.691,0.1200000000000045,20,1,36,5.4300432205200195,0.3132843773207908,0.03999999999999204,3
"went,",69.731,70.771,1.0400000000000065,20,2,36,4.870615482330322,0.28098842174002064,0.03999999999999204,5
there's,71.732,71.972,0.2399999999999948,20,3,36,4.81532621383667,0.27779655326896036,0.9609999999999985,7
no,71.992,72.132,0.1400000000000005,20,4,36,1.5103306770324707,0.08699802512183066,0.020000000000010232,2
such,72.192,72.392,0.2000000000000028,20,5,36,4.914389610290527,0.28351551719074775,0.05999999999998806,4
thing.,72.452,72.752,0.2999999999999971,20,6,36,1.506635069847107,0.0867846764489731,0.060000000000002274,6
So,74.743,74.843,0.1000000000000085,21,0,36,3.513855314108155,0.20266219095915955,0.0,2
I'm,74.883,74.983,0.1000000000000085,21,1,36,2.3656234741210938,0.13637437223095503,0.03999999999999204,3
a,75.003,75.043,0.0400000000000062,21,2,36,3.6270737648010254,0.20919833102674532,0.01999999999999602,1
researcher,75.083,75.523,0.4399999999999977,21,3,36,8.249446868896484,0.47604951886861935,0.03999999999999204,10
storyteller.,75.604,76.184,0.5799999999999983,21,4,36,3.8347911834716797,0.22118992899156578,0.08100000000000307,12
And,77.064,77.385,0.3210000000000121,22,0,36,3.513855314108155,0.20266219095915955,0.0,3
I'm,77.425,77.525,0.1000000000000085,22,1,36,2.3526155948638916,0.13562342289109913,0.03999999999999204,3
going,77.545,77.645,0.0999999999999943,22,2,36,2.6377005577087402,0.15208147576952236,0.01999999999999602,5
to,77.665,77.705,0.039999999999992,22,3,36,0.07905663549900055,0.004370082826984997,0.020000000000010232,2
talk,77.745,77.965,0.2199999999999988,22,4,36,4.566855430603027,0.2634522495624612,0.04000000000000625,4
to,77.985,78.065,0.0799999999999983,22,5,36,1.3904657363891602,0.0800781809052478,0.01999999999999602,2
you,78.085,78.165,0.0800000000000125,22,6,36,1.184183120727539,0.06816941461122872,0.01999999999999602,3
today.,78.185,78.505,0.3199999999999932,22,7,36,3.8563179969787598,0.2224326793333167,0.01999999999999602,6
We're,78.525,78.785,0.2599999999999909,23,0,36,3.513855314108155,0.20266219095915955,0.0,5
talking,78.865,79.085,0.2199999999999988,23,1,36,3.966094970703125,0.2287701417527995,0.0799999999999983,7
about,79.105,79.246,0.1409999999999911,23,2,36,0.35719937086105347,0.020427358527033944,0.020000000000010232,5
expanding,79.286,79.766,0.480000000000004,23,3,36,8.713586807250977,0.5028444770179329,0.04000000000000625,9
perception.,79.926,80.426,0.5,23,4,36,6.990381240844727,0.4033632274658758,0.1599999999999966,11
And,80.466,80.546,0.0800000000000125,24,0,36,3.513855314108155,0.20266219095915955,0.0,3
so,80.586,80.706,0.1200000000000045,24,1,36,4.205244064331055,0.24257630111483325,0.03999999999999204,2
I,80.806,80.846,0.0400000000000062,24,2,36,2.4366912841796875,0.1404771413290734,0.09999999999999432,1
want,80.886,80.987,0.100999999999999,24,3,36,5.032686233520508,0.2903448219040851,0.03999999999999204,4
to,81.007,81.067,0.059999999999988,24,4,36,0.2876051068305969,0.016409657747524387,0.020000000000010232,2
talk,81.107,81.287,0.1800000000000068,24,5,36,3.395750045776367,0.19584393322985663,0.04000000000000625,4
to,81.327,81.407,0.0799999999999983,24,6,36,1.3628507852554321,0.07848396028603782,0.03999999999999204,2
you,81.447,81.607,0.1599999999999966,24,7,36,0.20557750761508942,0.011674176254894253,0.04000000000000625,3
and,81.667,81.747,0.0799999999999983,24,8,36,4.412877082824707,0.2545630266284301,0.060000000000002274,3
tell,81.787,81.927,0.1400000000000005,24,9,36,1.8630162477493286,0.10735868432458878,0.04000000000000625,4
some,81.967,82.087,0.1200000000000045,24,10,36,7.979114055633545,0.46044311265533994,0.03999999999999204,4
stories,82.127,82.487,0.3599999999999994,24,11,36,1.0263826847076416,0.05905954120949787,0.03999999999999204,7
about,82.607,82.928,0.3209999999999979,24,12,36,1.0847426652908325,0.06242868294477991,0.12000000000000455,5
a,83.348,83.388,0.0400000000000062,24,13,36,3.3767428398132324,0.19474664069751565,0.4200000000000017,1
piece,83.448,83.688,0.2400000000000091,24,14,36,6.3640241622924805,0.3672034180647823,0.05999999999998806,5
of,83.728,83.788,0.0600000000000022,24,15,36,0.17188569903373718,0.009729136566836823,0.03999999999999204,2
my,83.828,84.008,0.1799999999999926,24,16,36,2.6451423168182373,0.15251109108037705,0.04000000000000625,2
research,84.048,84.549,0.5010000000000048,24,17,36,7.436651706695557,0.4291265748264616,0.04000000000000625,8
